'Page Number,'Type,'Text,'Confidence Score % (Line)
'2,'LINE,'Volume,'99.72475433
'2,'LINE,'Price,'99.90229797
'2,'LINE,'Value,'99.96469879
'2,'LINE,'Volume,'99.55416870
'2,'LINE,'Value,'99.95637512
'2,'LINE,'Date,'99.89434814
'2,'LINE,'Interest,'99.84080505
'2,'LINE,'Interest,'99.83202362
'2,'LINE,'PRODUCTION TAX,'99.49906158
'2,'LINE,'Jun 22,'99.74020386
'2,'LINE,'0.22,'99.96815491
'2,'LINE,'0.00258095,'98.95617676
'2,'LINE,'0.00258095,'99.46508789
'2,'LINE,'0.00,'99.94091797
'2,'LINE,'Total OIL,'99.93695831
'2,'LINE,'0.00,'99.86232758
'2,'LINE,'(0.11),'99.91530609
'2,'LINE,'Total Property,'99.94773865
'2,'LINE,'(0.11),'99.90627289
'2,'LINE,'Property:,'99.85778046
'2,'LINE,'173902049,'99.86178589
'2,'LINE,"'TIOGA MADISON UNIT TR-0091, State: ND, County: WILLIAMS",'99.25053406
'2,'LINE,'OIL,'99.93958282
'2,'LINE,'ROYALTY INTEREST,'99.86520386
'2,'LINE,'Mar 22,'99.78972626
'2,'LINE,'(0.82),'99.96906281
'2,'LINE,'100.12,'99.79004669
'2,'LINE,'(81.90),'99.77544403
'2,'LINE,'0.00087116,'94.89101410
'2,'LINE,'0.00087116,'97.97989655
'2,'LINE,'0.00,'96.35878754
'2,'LINE,'(0.08),'99.95516205
'2,'LINE,"'Producer Deducts: -0.17; Net Price After Deducts: 99.91; Net Price: 90.70; Taxes: -7.54; Net Value: -74.19; Owner Net Value After Ded: -0.08; Owner Net Value: -0.08; PPA: Volume Change, Price",'98.59260559
'2,'LINE,'Change,'99.86874390
'2,'LINE,'PRODUCTION TAX,'99.45789337
'2,'LINE,'Mar 22,'99.85389709
'2,'LINE,'7.54,'93.58409119
'2,'LINE,'0.00087116,'98.80889130
'2,'LINE,'0.00087116,'99.39162445
'2,'LINE,'0.00,'99.94700623
'2,'LINE,'ROYALTY INTEREST,'99.88227844
'2,'LINE,'Apr 22,'99.64767456
'2,'LINE,'(0.23),'99.97706604
'2,'LINE,'107.57,'73.75083923
'2,'LINE,'(24.31),'99.90231323
'2,'LINE,'0.00087116,'98.15513611
'2,'LINE,'0.00087116,'96.67295837
'2,'LINE,'0.00,'96.55994415
'2,'LINE,'(0.02),'99.96121216
'2,'LINE,"'Producer Deducts: -2.57; Net Price After Deducts: 96.19; Net Price: 91.42; Taxes: -1.08; Net Value: -20.66; Owner Net Value After Ded: -0.01; Owner Net Value: -0.01; PPA: Volume Change, Price",'97.51465607
'2,'LINE,'Change,'99.86785889
'2,'LINE,'TRANSPORTATION,'99.32143402
'2,'LINE,'Apr 22,'99.81755829
'2,'LINE,'2.57,'64.87908173
'2,'LINE,'0.00087116,'97.96901703
'2,'LINE,'0.00087116,'97.42281342
'2,'LINE,'0.01,'78.21349335
'2,'LINE,'PRODUCTION TAX,'99.86232758
'2,'LINE,'Apr 22,'99.75554657
'2,'LINE,'1.08,'97.35823822
'2,'LINE,'0.00087116,'97.99279785
'2,'LINE,'0.00087116,'98.35195160
'2,'LINE,'0.00,'99.88008118
'2,'LINE,'ROYALTY INTEREST,'99.90542603
'2,'LINE,'Jun 22,'99.77046204
'2,'LINE,'(0.22),'99.95658112
'2,'LINE,'116.86,'99.06623077
'2,'LINE,'(25.71),'99.70363617
'2,'LINE,'0.00087116,'97.40071869
'2,'LINE,'0.00087116,'99.73426819
'2,'LINE,'0.00,'96.75646210
'2,'LINE,'(0.02),'99.97169495
'2,'LINE,'Producer Deducts: -2.44; Net Price After Deducts: 105.77; Net Price: 100.45; Taxes: -1.17; Net Value: -22.10; Owner Net Value After Ded: -0.02; Owner Net Value: -0.02; PPA: Volume Change,'98.55092621
'2,'LINE,'PRODUCTION TAX,'99.70025635
'2,'LINE,'Jun 22,'99.44381714
'2,'LINE,'1.17,'99.42079926
'2,'LINE,'0.00087116,'98.79434967
'2,'LINE,'0.00087116,'97.56033325
'2,'LINE,'0.00,'99.24526978
'2,'LINE,'ROYALTY INTEREST,'99.84663391
'2,'LINE,'Mar 22,'99.73310089
'2,'LINE,'(0.82),'99.98096466
'2,'LINE,'100.12,'99.95186615
'2,'LINE,'(81.90),'99.77602386
'2,'LINE,'0.00095040,'97.02854919
'2,'LINE,'0.00095040,'99.54758453
'2,'LINE,'0.00,'99.80804443
'2,'LINE,'(0.08),'99.96363831
'2,'LINE,"'Producer Deducts: -0.17; Net Price After Deducts: 99.91; Net Price: 90.70; Taxes: -7.54;NetValue:-74.19;Owner NetValueAfterDed:-0.08;Owner NetValue: -0.08; PPA: Volume Change, Price",'94.20190430
'2,'LINE,'Change,'99.79184723
'2,'LINE,'PRODUCTION TAX,'99.79195404
'2,'LINE,'Mar 22,'99.77908325
'2,'LINE,'7.54,'94.82864380
'2,'LINE,'0.00095040,'98.46894836
'2,'LINE,'0.00095040,'99.26609802
'2,'LINE,'0.00,'99.98263550
'2,'LINE,'ROYALTY INTEREST,'99.91671753
'2,'LINE,'Apr 22,'99.76386261
'2,'LINE,'(0.23),'99.97987366
'2,'LINE,'107.57,'92.40030670
'2,'LINE,'(24.31),'99.83107758
'2,'LINE,'0.00095040,'98.13961792
'2,'LINE,'0.00095040,'97.73596191
'2,'LINE,'0.00,'94.05261230
'2,'LINE,'(0.03),'99.97090912
'2,'LINE,"'Producer Deducts: -2.57; Net Price After Deducts: 96.19; Net Price: 91.42; Taxes: -1.08; Net Value: -20.66; Owner Net Value After Ded: -0.02; Owner Net Value: -0.02; PPA: Volume Change, Price",'97.57849884
'2,'LINE,'Change,'99.87425995
'2,'LINE,'TRANSPORTATION,'99.62300110
'2,'LINE,'Apr 22,'99.78173065
'2,'LINE,'2.57,'76.84132385
'2,'LINE,'0.00095040,'99.60559082
'2,'LINE,'0.00095040,'99.51364136
'2,'LINE,'0.01,'99.83247375
'2,'LINE,'PRODUCTION TAX,'99.87470245
'2,'LINE,'Apr 22,'99.72921753
'2,'LINE,'1.08,'99.26525116
'2,'LINE,'0.00095040,'94.02401733
'2,'LINE,'0.00095040,'96.32343292
'2,'LINE,'0.00,'92.53701019
'2,'LINE,'ROYALTY INTEREST,'99.89677429
'2,'LINE,'Jun 22,'99.86167908
'2,'LINE,'(0.22),'99.95320129
'2,'LINE,'116.86,'99.68052673
'2,'LINE,'(25.71),'99.63967896
'2,'LINE,'0.00095040,'97.83654022
'2,'LINE,'0.00095040,'99.04974365
'2,'LINE,'0.00,'99.65358734
'2,'LINE,'(0.02),'99.96559143
'2,'LINE,'Producer Deducts: -2.44; Net Price After Deducts: 105.77; Net Price: 100.45; Taxes: -1.17; Net Value: -22.10; Owner Net Value After Ded: -0.02; Owner Net Value: -0.02; PPA: Volume Change,'98.21614838
'2,'LINE,'PRODUCTION TAX,'99.88285065
'2,'LINE,'Jun 22,'99.68350220
'2,'LINE,'1.17,'96.06527710
'2,'LINE,'0.00095040,'96.78334808
'2,'LINE,'0.00095040,'98.39749908
'2,'LINE,'0.00,'96.62092590
'2,'LINE,'WORKING INTEREST,'99.92114258
'2,'LINE,'Mar 22,'99.81974030
'2,'LINE,'(0.82),'99.96846771
'2,'LINE,'100.12,'99.77448273
'2,'LINE,'(81.90),'99.72524261
'2,'LINE,'0.00609821,'95.73438263
'2,'LINE,'0.00609821,'97.96849823
'2,'LINE,'(0.01),'99.95854187
'2,'LINE,'(0.50),'99.95273590
'2,'LINE,"'Producer Deducts: -0.17; Net Price After Deducts: 99.91; Net Price:90.70;Taxes:-7.54;NetValue:-74.19;Owner NetValueAfterDed:-0.50;Owner NetValue:-0.45; PPA: Volume Change, Price",'92.99480438
'2,'LINE,'Change,'99.67469788
'2,'LINE,'EXTRACTION TAX,'99.79798889
'2,'LINE,'Mar 22,'99.84501648
'2,'LINE,'3.02,'98.14396667
'2,'LINE,'0.00609821,'91.77001953
'2,'LINE,'0.00609821,'95.94145966
'2,'LINE,'0.02,'99.43331909
'2,'LINE,'PRODUCTION TAX,'99.83081055
'2,'LINE,'Mar 22,'99.70214081
'2,'LINE,'4.52,'99.82456207
'2,'LINE,'0.00609821,'96.80445099
'2,'LINE,'0.00609821,'96.56156158
'2,'LINE,'0.03,'96.92272186
'2,'LINE,'WORKING INTEREST,'99.91391754
'2,'LINE,'Apr 22,'99.73640442
'2,'LINE,'(0.23),'99.97650909
'2,'LINE,'107.57,'99.95620728
'2,'LINE,'(24.31),'99.79194641
'2,'LINE,'0.00609821,'94.79747772
'2,'LINE,'0.00609821,'99.33276367
'2,'LINE,'0.00,'91.22501373
'2,'LINE,'(0.15),'99.93386078
'2,'LINE,"'Producer Deducts: -2.57; Net Price After Deducts: 96.19; Net Price: 91.42; Taxes: -1.08; Net Value: -20.66; Owner Net Value After Ded: -0.14; Owner Net Value: -0.14; PPA: Volume Change, Price",'96.02037811
'2,'LINE,'Change,'99.73014832
'2,'LINE,'TRANSPORTATION,'98.77083588
'2,'LINE,'Apr 22,'99.75305176
'2,'LINE,"'2,57",'66.12989807
'2,'LINE,'0.00609821,'95.40249634
'2,'LINE,'0.00609821,'90.31404877
'2,'LINE,'0.01,'79.14070129
'2,'LINE,'PRODUCTION TAX,'99.80490112
'2,'LINE,'Apr 22,'99.75369263
'2,'LINE,'1.08,'99.86712646
'2,'LINE,'0.00609821,'88.07822418
'2,'LINE,'0.00609821,'92.15187073
'2,'LINE,'0.00,'72.28424835
'2,'LINE,'WORKING INTEREST,'99.91787720
'2,'LINE,'Jun 22,'99.76067352
'2,'LINE,'(0.22),'99.95941925
'2,'LINE,'116.86,'99.81407166
'2,'LINE,'(25.71),'99.71044159
'2,'LINE,'0.00609821,'95.06779480
'2,'LINE,'0.00609821,'95.64283752
'2,'LINE,'0.00,'98.37335968
'2,'LINE,'(0.16),'99.93994141
'2,'LINE,'Producer Deducts: -2.44; Net Price After Deducts: 105.77; Net Price: 100.45; Taxes: -1.17; Net Value: -22.10; Owner Net Value After Ded: -0.14; Owner Net Value: -0.13; PPA: Volume Change,'98.17740631
'2,'LINE,'TRANSPORTATION,'99.48893738
'2,'LINE,'Jun 22,'99.65155792
'2,'LINE,'2.44,'98.41650391
'2,'LINE,'0.00609821,'94.11428833
'2,'LINE,'0.00609821,'98.29978943
'2,'LINE,'0.02,'98.10604858
'2,'LINE,'PRODUCTION TAX,'99.81083679
'2,'LINE,'Jun 22,'99.65739441
'2,'LINE,'1.17,'99.74085236
'2,'LINE,'0.00609821,'95.20469666
'2,'LINE,'0.00609821,'95.10709381
'2,'LINE,'0.01,'95.45368195
'2,'LINE,'WORKING INTEREST,'99.89940643
'2,'LINE,'Jul 22,'99.22894287
'2,'LINE,'(0.03),'99.97191620
'2,'LINE,'106.67,'88.14624023
'2,'LINE,'(2.88),'99.92169189
'2,'LINE,'0.00609821,'97.35836792
'2,'LINE,'0.00609821,'97.26680756
'2,'LINE,'0.00,'85.67958069
'2,'LINE,'(0.02),'99.97022247
'2,'LINE,'Producer Deducts: -0.31; Net Price After Deducts: 95.19; Net Price: 90.37; Taxes: -0.13; Net Value: -2.44; Owner Net Value After Ded: -0.02; Owner Net Value: -0.02; PPA: Volume Change,'98.34898376
'2,'LINE,'PRODUCTION TAX,'99.88619995
'2,'LINE,'Jul 22,'99.16083527
'2,'LINE,'0.13,'97.99469757
'2,'LINE,'0.00609821,'91.81598663
'2,'LINE,'0.00609821,'93.82364655
'2,'LINE,'0.00,'84.80340576
'2,'LINE,"'Represented Unit of Measure: Gas = MCFs, Plant Products = GALs, Oil = BBLs",'98.96899414
'2,'LINE,'www.energylink.com,'95.78575897
'2,'LINE,"'Generated on Thursday, April 6, 2023 8:17 AM",'99.50353241
'2,'LINE,'Page 2 of 23,'99.86186981
'2,'LINE,'© 2023 Enverus. All rights reserved. Unauthorized use prohibited.,'93.16625977
